time,load_magnitude,tip_disp_z
0,0,0
0.1,-1564.3446504023,-1.3209676311548e-06
0.2,-3090.1699437495,-2.609408655169e-06
0.3,-4539.9049973955,-3.833597377962e-06
0.4,-5877.8525229247,-4.9633902103294e-06
0.5,-7071.0678118655,-5.9709679031708e-06
0.6,-8090.1699437495,-6.8315205497298e-06
0.7,-8910.0652418837,-7.5238584878376e-06
0.8,-9510.5651629515,-8.0309340597201e-06
0.9,-9876.8834059514,-8.3402613819102e-06
1,-10000,-8.4442237891372e-06
1.1,-9876.8834059514,-8.3402613819035e-06
1.2,-9510.5651629515,-8.0309340597068e-06
1.3,-8910.0652418837,-7.5238584878181e-06
1.4,-8090.1699437495,-6.8315205497046e-06
1.5,-7071.0678118655,-5.9709679031405e-06
1.6,-5877.8525229247,-4.9633902102947e-06
1.7,-4539.9049973955,-3.8335973779238e-06
1.8,-3090.1699437495,-2.6094086551282e-06
1.9,-1564.3446504023,-1.3209676311125e-06
2,-1.2246467991474e-12,2.141996718763e-17
